Anchor1,Anchor2,Anchor3,Anchor4
4.44,1.47,6.14,2.35
4.42,1.38,6.08,2.32
4.4,1.51,6.22,2.32
4.47,1.48,6.24,2.33
4.47,1.51,6.27,2.21
4.45,1.46,6.24,2.25
4.47,1.51,6.21,2.27
4.44,1.47,6.27,2.3
4.45,1.54,6.15,2.28
4.41,1.52,6.2,2.3
4.37,1.54,6.18,2.21
4.49,1.55,6.16,2.29
4.37,1.62,6.11,2.33
4.31,1.61,6.19,2.28
4.39,1.67,6.21,2.26
4.34,1.71,6.11,2.26
4.33,1.75,6.13,2.25
4.3,1.82,5.98,2.18
4.37,1.84,6.04,2.18
4.31,1.81,6.04,2.18
4.42,1.81,5.98,2.11
4.41,1.82,6,2.17
4.45,1.87,6.02,2.12
4.4,1.87,6.07,2.05
4.46,1.93,5.89,1.99
4.48,1.95,5.97,1.92
4.42,1.95,5.95,1.89
4.49,2,6.11,1.85
4.5,2.02,6.42,1.85
4.49,2.1,6.32,1.82
4.53,2.24,6.32,1.87
4.63,2.17,6.24,1.78
4.61,2.04,6.22,1.73
4.66,2.09,6.06,1.68
4.72,2.07,5.89,1.72
4.72,2.31,5.87,1.64
4.74,2.44,5.77,1.61
4.76,2.42,5.82,1.57
4.8,2.43,5.87,1.62
4.75,2.44,5.87,1.55
4.74,2.5,5.79,1.53
4.81,2.6,5.66,1.47
4.79,2.67,5.66,1.49
4.81,2.45,5.73,1.48
4.86,2.65,5.75,1.38
4.87,2.64,5.75,1.28
5.69,2.7,5.78,1.33
4.91,2.71,5.86,1.29
5,2.69,5.73,1.33
4.98,2.64,5.79,1.37
5,2.68,5.74,1.33
5.09,2.65,5.69,1.27
5.01,2.65,5.74,1.25
5.04,2.73,5.72,1.26
5.07,2.78,5.7,1.26
5.12,2.78,5.68,1.28
5.11,2.79,5.72,1.45
5.07,2.76,5.53,1.34
5.11,2.85,5.62,1.32
5.08,2.96,5.58,1.61
5.13,3.41,5.59,1.65
5.09,3.34,5.57,1.54
5.18,3.25,5.61,1.54
5.08,3.32,5.66,1.27
5.2,3.28,5.65,1.63
5.14,3.21,5.62,1.59
5.19,3.2,5.7,1.62
5.2,3.24,5.72,1.61
5.17,3.29,5.71,1.55
5.28,3.29,5.68,1.58
5.15,3.26,5.68,1.63
5.19,3.39,5.63,1.11
5.11,3.36,5.62,1.15
5.07,3.42,5.64,1.21
4.97,3.3,5.93,1.2
4.99,3.44,5.63,1.36
5.07,3.45,5.59,1.12
4.97,3.5,5.62,1.2
5.02,2.98,5.55,1.26
5.01,2.96,5.56,1.21
4.97,3.19,5.49,1.25
4.93,3.19,5.55,1.26
4.87,3.08,5.41,1.3
4.93,3.21,5.44,1.33
4.91,3.2,5.39,1.31
4.86,2.92,5.57,1.33
4.8,2.97,5.61,1.38
4.85,3.28,5.41,1.45
4.76,3.21,5.34,1.49
4.65,3.43,5.3,1.56
4.64,3.55,5.22,1.66
4.51,3.5,5.12,1.72
4.53,3.29,5.13,1.81
4.37,3.24,5.01,1.86
4.32,3.26,5.01,1.95
4.34,3.14,4.93,1.99
4.22,3.09,4.82,2.08
4.16,3.18,4.8,2.14
4.18,3.15,4.94,2.2
4.07,3.07,4.76,2.29
4.06,3.15,4.84,2.34
3.97,3.2,4.69,2.34
3.96,3.27,4.69,2.34
3.91,3.3,4.59,2.45
3.82,3.42,4.45,2.48
3.83,3.42,4.52,2.56
3.73,3.44,4.41,2.61
3.66,3.45,4.42,2.62
3.63,3.43,4.27,2.74
3.58,3.43,4.28,2.88
3.63,3.49,4.11,2.83
3.55,3.52,4.12,2.84
3.46,3.56,4.21,2.9
3.48,3.6,4.09,2.98
3.43,3.65,4.09,3.06
3.38,3.7,4,3.1
3.36,3.73,3.94,3.13
3.31,3.69,3.92,3.19
3.23,3.7,3.94,3.24
3.26,3.72,3.86,3.2
3.2,3.81,3.83,3.23
3.2,3.84,3.78,3.33
3.23,3.93,3.79,3.4
3.15,3.94,3.64,3.45
3.11,3.95,3.56,3.47
3.13,4.03,3.63,3.43
3.16,4.02,3.57,3.47
3.11,4.12,3.53,3.48
3.12,4.08,3.53,3.44
3.11,3.98,3.49,3.46
3.08,4.06,3.43,3.46
3.09,4.02,3.41,3.54
3.08,4.08,3.41,3.51
3.07,4.1,3.37,3.49
3.06,4.08,3.37,3.53
3.04,4.17,3.41,3.53
3.04,4.16,3.4,3.49
3.01,4.15,3.41,3.55
3.04,4.12,3.41,3.56
2.96,4.08,3.42,3.56
2.99,4.09,3.43,3.59
3.01,4.2,3.41,3.57
2.98,4.23,3.43,3.63
2.95,4.2,3.39,3.73
2.97,4.21,3.34,3.64
3.04,4.25,3.36,3.64
3.02,4.2,3.4,3.66
2.99,4.2,3.48,3.61
3.04,4.27,3.46,3.61
3.04,4.23,3.41,3.58
3.04,4.28,3.37,3.64
3.05,4.28,3.44,3.63
3,4.24,3.43,3.64
3.02,4.23,3.49,3.62
3.05,4.25,3.47,3.67
3.04,4.2,3.5,3.63
3.01,4.22,3.57,3.66
2.98,4.13,3.67,3.68
2.98,4.1,3.77,3.56
3.01,4.12,3.75,3.6
3.02,4.1,3.75,3.59
2.94,4.01,3.79,3.59
2.88,3.93,3.83,3.54
2.91,3.95,3.75,3.61
2.86,3.95,3.74,3.64
2.84,3.93,3.69,3.55
2.88,3.89,3.68,3.55
2.78,3.92,3.69,3.5
2.76,3.85,3.78,3.63
2.74,3.79,3.82,3.64
2.73,3.7,4.28,3.67
2.73,3.74,4.02,3.72
2.66,3.79,3.83,3.62
2.64,3.77,3.8,3.67
2.67,3.79,3.81,3.69
2.64,3.73,3.83,3.75
2.6,3.75,3.92,3.71
2.56,3.65,3.89,3.71
2.57,3.65,3.93,3.74
2.51,3.57,3.85,3.72
2.42,3.51,3.85,3.69
2.47,3.5,3.96,3.75
2.49,3.62,4,3.81
2.39,3.52,4.06,3.8
2.42,3.52,4.2,3.85
2.32,3.52,4.24,3.92
2.34,3.46,4.34,4.03
2.4,3.4,4.37,3.98
2.39,3.37,4.4,3.94
2.31,3.37,4.4,3.93
2.28,3.32,4.19,3.98
2.28,3.42,4.21,3.96
2.25,3.32,4.24,4.03
2.26,3.34,4.29,3.94
2.17,3.34,4.18,4.06
2.24,3.31,4.78,4.08
2.27,3.31,4.55,4.03
2.27,3.23,4.5,4.07
2.28,3.21,4.41,4.01
2.3,3.22,4.39,4.02
2.31,3.19,4.41,4.03
2.33,3.15,4.34,3.98
2.37,3.18,4.98,4.02
2.25,3.25,4.89,3.99
2.3,3.15,4.67,3.98
2.32,3.13,4.54,3.94
2.31,3.1,4.56,3.86
2.3,3.11,4.53,3.94
2.26,3.11,4.38,3.85
2.29,3.08,4.27,3.84
2.36,3.14,4.32,3.92
2.37,3.14,4.32,3.83
2.37,3.13,4.44,3.85
2.4,3.13,4.62,3.85
2.42,3.14,4.74,3.84
2.44,3.1,4.83,3.82
2.5,3.08,4.82,3.77
2.51,3.01,4.8,3.86
2.58,2.87,4.83,3.73
2.64,2.91,4.84,3.71
2.67,2.89,4.86,3.65
2.65,2.82,4.92,3.73
2.77,2.82,4.9,3.69
2.8,2.79,4.93,3.57
