Input1,Input2,Input3,Input4
3.39,5.69,1.63,4.94
3.89,5.66,1.63,4.82
3.51,5.64,1.73,4.75
4.03,4.9,2.59,3.61
4.08,4.84,2.6,3.57
4.13,4.86,2.71,3.41
4.47,2.68,4.79,4.53
4.16,2.62,4.76,4.08
4.16,2.63,4.81,4.12
4.06,2.72,4.73,4.16
3.51,2.79,4.7,4.16
3.61,2.82,4.7,4.21
5.29,2.84,4.84,2.36
3.71,2.73,4.86,4.53
3.69,2.86,4.67,4.28
3.66,2.92,4.77,4.28
3.59,2.97,4.68,4.93
3.49,3.03,4.81,4.54
3.49,3.11,4.66,4.28
4.09,4.9,2.58,3.79
4.03,4.89,2.59,4.13
4.71,4.33,3.63,2.66
4.87,4.36,3.75,2.54
5.27,4.33,4.37,2.24
5.25,4.04,4.36,2.23
5.28,4.21,4.39,2.17
5.31,4.49,4.45,2.13
2.78,4.23,3.58,5.04
2.68,4.23,3.51,5.05
2.64,4.41,3.58,5.15
2.52,4.4,3.48,5.15
2.58,4.46,3.49,5.24
2.6,4.47,3.51,5.28
2.52,4.58,3.54,5.24
2.74,4.37,3.52,5.28
2.62,4.39,3.49,5.32
2.51,4.37,3.54,5.28
2.6,4.45,3.57,5.33
5.15,2.49,5.08,3.78
5.11,2.45,5.13,4.05
5.05,2.4,5.14,2.65
1.79,4.76,3.95,5.43
1.81,4.76,3.87,5.55
1.83,4.82,3.79,5.49
1.76,4.86,3.64,5.47
1.76,4.82,3.47,5.54
3.28,3.68,3.96,4.65
3.31,3.74,3.89,4.61
3.31,3.73,3.85,4.74
3.24,3.79,3.79,4.65
2.62,3.83,3.89,4.81
2.95,3.7,3.76,4.73
2.73,4.48,3.78,4.74
2.83,3.93,3.79,4.68
2.84,3.99,3.78,4.68
2.74,4.86,2.36,4.92
2.84,4.88,2.4,4.91
2.82,4.98,2.33,4.81
2.86,4.97,2.3,4.88
2.97,5.08,2.27,4.94
3.07,5.02,2.29,4.93
3.09,5.17,2.22,4.95
3.23,5.22,2.2,5.02
2.75,5.26,2.18,4.97
2.92,5.31,2.08,4.95
4.79,2.13,5.08,3.24
4.51,2.17,5.15,3.2
4.83,2.07,5.11,3.3
4.43,2.07,5.16,3.37
4.58,1.99,5.16,3.37
4.67,2.04,5.33,3.34
4.76,1.96,5.35,3.4
4.69,1.95,5.34,3.45
2.11,4.83,3.08,5.24
4.43,4.47,2.82,3.46
4.44,5.48,2.32,4.34
4.69,4.64,3.88,2.74
4.76,4.39,4.16,2.7
4.82,4.33,4.68,2.68
4.88,4.38,3.91,2.58
4.87,4.38,4,2.57
4.93,4.31,4.43,2.47
4.92,4.21,4.95,2.45
4.96,4.24,4.43,2.39
5.05,4.23,4.08,2.45
5.33,3.45,4.64,2.03
5.63,4.81,5.62,1.79
3.07,3.23,4.3,4.75
3.08,3.49,4.23,4.68
2.63,4.28,3.6,5.22
2.6,4.33,3.6,5.19
2.62,4.23,3.63,5.28
2.59,4.33,3.65,5.24
2.71,4.26,3.63,5.28
1.82,4.91,3.89,5.51
3.15,3.74,3.88,4.88
3.05,3.82,3.88,4.78
3.09,4.1,3.74,4.84
2.88,4.14,3.73,4.99
2.75,4.04,3.73,4.99
2.78,4.06,3.72,5.08
2.54,4.79,3.52,5.59
2.45,4.82,3.47,5.51
2.46,4.86,3.41,5.56
2.17,4.84,3.34,5.59
2.14,4.9,3.45,5.6
2.04,4.92,3.26,5.64
2.05,5.07,3.28,5.71
4.94,4.39,3.24,3.2
4.81,1.76,5.67,3.9
1.68,5,3.13,5.79
2.4,4.84,3.16,5.61
2.18,4.78,2.88,5.12
2.22,4.8,2.89,5.12
2.24,4.81,2.84,5.29
2.18,4.9,2.82,5.2
2.15,4.89,2.68,5.2
5.17,3.67,4.35,2.57
5.18,3.67,4.44,2.3
5.24,3.7,4.37,2.67
5.35,3.55,4.63,2.04
2.73,3.75,4.14,5.07
2.77,3.79,3.99,4.96
1.49,4.96,3.43,5.8
1.65,5.07,3.58,5.78
1.7,5.07,3.47,5.77
3.98,4.96,2.55,3.72
4.03,4.91,2.63,3.66
4,4.95,2.67,3.59
4.07,4.78,2.75,3.41
4.07,4.87,2.82,3.47
3.38,3.91,3.99,4.82
3.17,4.16,3.88,4.75
3.13,4.26,3.9,4.81
3.06,4.36,4.01,4.69
3.18,4.34,3.99,4.65
3.17,4.38,3.93,4.74
3.14,3.72,3.9,4.73
3,3.81,3.95,4.81
3.04,3.86,3.85,4.73
3.11,4.11,3.85,4.97
2.67,4.14,3.62,5.09
2.6,4.22,3.68,5.07
5.07,3.68,4.55,2.4
4.89,1.64,5.72,4.52
2.6,4.17,4.18,4.93
2.51,4.19,4.15,4.96
2.51,4.12,4.16,4.95
2.46,4.17,3.58,5.01
5.15,4.22,4.26,2.32
5.18,4.82,4.27,2.28
5.2,4.39,4.3,2.22
5.33,4.85,4.38,2.21
3.26,3.13,4.41,4.56
5.69,3.92,4.38,2.16
4.97,1.77,5.61,3.13
4.95,1.83,5.52,3.2
4.97,1.74,5.49,3.17
4.36,4.43,2.92,3.42
5.19,4.1,4.26,2.3
5.29,4.38,5.28,2.05
5.27,3.94,4.5,2.08
5.31,4.04,4.45,2.04
3.1,3.8,3.89,4.82
5.03,4.28,4.22,2.36
5.2,4.16,4.22,2.33
5.18,4.49,4.39,2.23
5.25,5.08,4.43,2.31
5.37,3.91,4.4,2.19
4.89,1.75,5.65,4.06
2.71,5.63,1.97,5.12
2.73,5.38,1.91,5.11
3.56,5.05,2.54,4.22
3.56,5.01,2.5,4.13
3.58,5.05,2.6,4.16
